# x	jacobi_kp1
0	30
0.01	2.12281e-314
0.02	2.12281e-314
0.03	2.12281e-314
0.04	2.12281e-314
0.05	2.12281e-314
0.06	2.12281e-314
0.07	2.12281e-314
0.08	2.12281e-314
0.09	2.12281e-314
0.1	2.12281e-314
0.11	2.12281e-314
0.12	2.12281e-314
0.13	2.12281e-314
0.14	2.12281e-314
0.15	2.12281e-314
0.16	2.12281e-314
0.17	2.12281e-314
0.18	2.12281e-314
0.19	2.12281e-314
0.2	2.12281e-314
0.21	2.12281e-314
0.22	2.12281e-314
0.23	2.12281e-314
0.24	2.12281e-314
0.25	2.12281e-314
0.26	2.12281e-314
0.27	2.12281e-314
0.28	2.12281e-314
0.29	2.12281e-314
0.3	2.12281e-314
0.31	2.12281e-314
0.32	2.12281e-314
0.33	2.12281e-314
0.34	2.12281e-314
0.35	2.12281e-314
0.36	2.12281e-314
0.37	2.12281e-314
0.38	2.12281e-314
0.39	2.12281e-314
0.4	2.12281e-314
0.41	2.12281e-314
0.42	2.12281e-314
0.43	2.12281e-314
0.44	2.12281e-314
0.45	2.12281e-314
0.46	2.12281e-314
0.47	2.12281e-314
0.48	2.12281e-314
0.49	2.12281e-314
0.5	2.58567e-314
0.51	2.58567e-314
0.52	3.04852e-314
0.53	3.04852e-314
0.54	3.04852e-314
0.55	3.04852e-314
0.56	3.04852e-314
0.57	3.04852e-314
0.58	3.04852e-314
0.59	3.04852e-314
0.6	3.04852e-314
0.61	3.04852e-314
0.62	3.04852e-314
0.63	3.04852e-314
0.64	3.04852e-314
0.65	3.04852e-314
0.66	3.04852e-314
0.67	3.04852e-314
0.68	3.04852e-314
0.69	3.04852e-314
0.7	3.04852e-314
0.71	3.04852e-314
0.72	3.04852e-314
0.73	3.04852e-314
0.74	3.04852e-314
0.75	3.04852e-314
0.76	3.04852e-314
0.77	3.04852e-314
0.78	3.04852e-314
0.79	3.04852e-314
0.8	3.04852e-314
0.81	3.04852e-314
0.82	3.04852e-314
0.83	3.04852e-314
0.84	3.04852e-314
0.85	3.04852e-314
0.86	3.04852e-314
0.87	3.04852e-314
0.88	3.04852e-314
0.89	3.04852e-314
0.9	3.04852e-314
0.91	3.04852e-314
0.92	3.04852e-314
0.93	3.04852e-314
0.94	3.04852e-314
0.95	3.04852e-314
0.96	3.04852e-314
0.97	3.04852e-314
0.98	3.04852e-314
0.99	3.04852e-314
1	15
